state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,100.55,99.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,101.89,101.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.11,102.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.29,102.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,103.87,103.29,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,104.72,103.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.06,104.11,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.82,104.67,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,106.89,106.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,107.96,107.15,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.25,110.38,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,110.78,110.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,111.37,110.64,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.51,111.78,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.03,111.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.52,114.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.35,115.49,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.54,116.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.23,117.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,120.80,120.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,120.97,119.97,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.86,120.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.08,123.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,123.02,122.94,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,124.76,123.61,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.05,124.30,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,4,125.25,125.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,1,125.48,125.61,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,2,129.12,127.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,3,129.83,128.93,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,4,130.49,130.61,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,1,131.39,131.74,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,2,133.69,132.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,3,134.39,133.22,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,4,130.69,130.93,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,1,132.97,133.41,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,2,136.21,134.82,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,3,137.87,136.48,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,4,136.50,136.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,1,139.71,140.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,2,144.48,143.09,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,3,146.58,144.96,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,4,147.83,148.29,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,1,148.73,149.17,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,2,153.10,151.72,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,3,157.70,155.90,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,4,156.67,157.11,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,1,159.51,160.01,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,2,163.79,162.37,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,3,166.46,164.51,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,4,170.07,170.55,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,1,174.65,175.30,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,2,178.34,176.65,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,3,185.11,182.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,4,187.18,187.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,1,191.96,192.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,2,199.38,197.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,3,206.33,204.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,4,207.31,207.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,1,210.70,212.12,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,2,218.48,215.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,3,219.89,217.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,4,219.32,219.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,1,220.58,222.49,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,2,228.92,225.79,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,3,226.29,223.95,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2007,4,221.73,221.88,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,1,216.83,218.87,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,2,226.07,223.03,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,3,223.50,220.99,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2008,4,224.40,224.48,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,1,223.02,225.37,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,2,218.42,215.56,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,3,217.27,214.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2009,4,214.84,215.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,1,212.10,214.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,2,221.87,219.22,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,3,225.15,221.95,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2010,4,220.08,220.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,1,222.05,224.68,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,2,225.07,222.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,3,227.33,223.92,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2011,4,223.02,223.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,1,214.66,217.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,2,227.17,224.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,3,230.19,226.80,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2012,4,227.04,227.09,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,1,226.28,229.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,2,234.18,230.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,3,233.77,230.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2013,4,232.11,232.08,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,1,228.13,231.21,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,2,237.98,234.55,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,3,239.27,236.28,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2014,4,241.49,241.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,1,240.27,243.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2015,2,246.44,242.81,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
